,support,pattern
0,0.131596844985052,"['食品', '服装']"
1,0.0223325825609387,"['食品', '服装', '电子产品']"
2,0.0223298469071483,"['食品', '服装', '食品']"
3,0.0224887900111017,"['食品', '服装', '服装']"
4,0.0340429128250897,"['食品', '办公']"
5,0.1308313475427507,"['食品', '食品']"
6,0.0221895839480123,"['食品', '食品', '食品']"
7,0.02216289108943,"['食品', '食品', '电子产品']"
8,0.0223182729872657,"['食品', '食品', '服装']"
9,0.0639618032801719,"['食品', '家居']"
10,0.0504837874229951,"['食品', '玩具']"
11,0.1307566593380821,"['食品', '电子产品']"
12,0.0221701753746708,"['食品', '电子产品', '食品']"
13,0.0222836969133229,"['食品', '电子产品', '服装']"
14,0.0221554449311839,"['食品', '电子产品', '电子产品']"
15,0.0330774860338803,"['食品', '运动户外']"
16,0.0335250325190727,"['食品', '母婴']"
17,0.0326084104389764,"['食品', '汽车用品']"
18,0.0342578316142932,"['服装', '办公']"
19,0.0508434368662823,"['服装', '玩具']"
20,0.132519990547264,"['服装', '服装']"
21,0.0224858277351038,"['服装', '服装', '电子产品']"
22,0.0226270133703703,"['服装', '服装', '服装']"
23,0.0225084737685523,"['服装', '服装', '食品']"
24,0.13159406076936,"['服装', '电子产品']"
25,0.0224828978337069,"['服装', '电子产品', '服装']"
26,0.0222920333730985,"['服装', '电子产品', '食品']"
27,0.0222899937732311,"['服装', '电子产品', '电子产品']"
28,0.1316626949236285,"['服装', '食品']"
29,0.0223061810737661,"['服装', '食品', '电子产品']"
30,0.0224901659316472,"['服装', '食品', '服装']"
31,0.0223293451008317,"['服装', '食品', '食品']"
32,0.0328074656736556,"['服装', '汽车用品']"
33,0.0337559281739043,"['服装', '母婴']"
34,0.0332871115758089,"['服装', '运动户外']"
35,0.0643808924910237,"['服装', '家居']"
36,0.0339938653044686,"['办公', '食品']"
37,0.0342368043108982,"['办公', '服装']"
38,0.0339941728631788,"['办公', '电子产品']"
39,0.1314809762878223,"['电子产品', '服装']"
40,0.0224704821741966,"['电子产品', '服装', '服装']"
41,0.022289265344707,"['电子产品', '服装', '电子产品']"
42,0.022293198858737,"['电子产品', '服装', '食品']"
43,0.0504722944396153,"['电子产品', '玩具']"
44,0.1306739260450476,"['电子产品', '食品']"
45,0.022168669955721,"['电子产品', '食品', '食品']"
46,0.0220936903796428,"['电子产品', '食品', '电子产品']"
47,0.0222857203258898,"['电子产品', '食品', '服装']"
48,0.0325773146346486,"['电子产品', '汽车用品']"
49,0.1306019411195684,"['电子产品', '电子产品']"
50,0.0221428512113677,"['电子产品', '电子产品', '电子产品']"
51,0.022299220534536,"['电子产品', '电子产品', '服装']"
52,0.0221485167665549,"['电子产品', '电子产品', '食品']"
53,0.0330481060834093,"['电子产品', '运动户外']"
54,0.0339692444203548,"['电子产品', '办公']"
55,0.063931824399581,"['电子产品', '家居']"
56,0.033512940605573,"['电子产品', '母婴']"
57,0.0508050244021127,"['玩具', '服装']"
58,0.0504956850888884,"['玩具', '食品']"
59,0.050452529745662,"['玩具', '电子产品']"
60,0.0246039521974122,"['玩具', '家居']"
61,0.0332941854261427,"['运动户外', '服装']"
62,0.0330119112794129,"['运动户外', '电子产品']"
63,0.0330617681650608,"['运动户外', '食品']"
64,0.063990729986228,"['家居', '食品']"
65,0.0311855629092483,"['家居', '家居']"
66,0.0643402623666807,"['家居', '服装']"
67,0.0246045835021331,"['家居', '玩具']"
68,0.0638992069890029,"['家居', '电子产品']"
69,0.0325733487460175,"['汽车用品', '食品']"
70,0.0327945320205281,"['汽车用品', '服装']"
71,0.0325837248056605,"['汽车用品', '电子产品']"
72,0.0335018037428049,"['母婴', '电子产品']"
73,0.0337084831960361,"['母婴', '服装']"
74,0.0335264893761208,"['母婴', '食品']"
