antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
办公,电子产品,0.13673291357180994,0.4842286402458734,0.061437911755352,0.44932789151081604,0.9279250630087967,1.0,-0.004772081060382058,0.9366215426620925,-0.0825485195942272,0.1098039602560847,-0.0676670933254125,0.28810289447615706
"电子产品, 办公",食品,0.061437911755352,0.48457373730597963,0.02633526492613581,0.4286484382965976,0.8845886710239343,1.0,-0.0034359335854300885,0.9021175354056112,-0.12204409358938405,0.050676278026296824,-0.10850300626334546,0.2414978595033751
"办公, 食品",电子产品,0.06148072716526714,0.4842286402458734,0.02633526492613581,0.42834992591001153,0.8846026242737548,1.0,-0.0034354639904290267,0.9022501406567376,-0.12203433669867558,0.05070577219798163,-0.10834008767470113,0.24136796925133278
"电子产品, 办公",服装,0.061437911755352,0.48721733391825606,0.02651848898089175,0.43163070200838427,0.8859099871040345,1.0,-0.003415126586055934,0.9021997984298374,-0.12065719834272472,0.05078839717943511,-0.10840193241050505,0.2430295808096335
"服装, 办公",电子产品,0.06187255696201794,0.4842286402458734,0.02651848898089175,0.4285985626417671,0.8851160939678012,1.0,-0.0034419751453615456,0.9026427412200755,-0.12153996901829787,0.05103805142280857,-0.1078580199385746,0.24168147929189435
电子产品,服装,0.4842286402458734,0.48721733391825606,0.22244046120662436,0.4593707243208029,0.9428456098359481,1.0,-0.013484125900832422,0.9484922277609381,-0.10517009779695095,0.29698107338129104,-0.0543048964783339,0.45796178596672765
服装,电子产品,0.48721733391825606,0.4842286402458734,0.22244046120662436,0.45655284761265247,0.9428456098359481,1.0,-0.013484125900832422,0.9490736265492569,-0.10571826709208136,0.29698107338129104,-0.053659033426001555,0.45796178596672765
电子产品,食品,0.4842286402458734,0.48457373730597963,0.2212278219616441,0.45686645434543643,0.9428213276382172,1.0,-0.013416659952891485,0.9489862425508049,-0.10521250319874823,0.29592743667818533,-0.05375605584341646,0.4567037719112498
食品,电子产品,0.48457373730597963,0.4842286402458734,0.2212278219616441,0.45654108947706307,0.9428213276382172,1.0,-0.013416659952891485,0.9490530926392056,-0.10527553088784676,0.29592743667818533,-0.05368183061193876,0.4567037719112498
"电子产品, 服装",食品,0.22244046120662436,0.48457373730597963,0.09893805966681064,0.4447844566142458,0.9178880784729585,1.0,-0.008850745948149108,0.9283354344709169,-0.10317842201562016,0.16270669632689058,-0.077196843800244,0.32447995206291647
"电子产品, 食品",服装,0.2212278219616441,0.48721733391825606,0.09893805966681064,0.44722250026926663,0.9179117185192355,1.0,-0.008847969937884212,0.9276475007241223,-0.10300532709631377,0.1623247051289801,-0.07799568178580699,0.3251450552551734
"服装, 食品",电子产品,0.22258211627360636,0.4842286402458734,0.09893805966681064,0.4445013881761832,0.917957657255634,1.0,-0.00884257583940666,0.9284836159369374,-0.10310984506806048,0.16276115077889472,-0.0770249284268685,0.32441117308885203
玩具,电子产品,0.20031653294958207,0.4842286402458734,0.09033085110252433,0.45094056777260527,0.9312554654834838,1.0,-0.006668151266419495,0.939372551459089,-0.0845094168862009,0.15201729030085073,-0.06454036627612846,0.31874321695430297
"电子产品, 玩具",服装,0.09033085110252433,0.48721733391825606,0.039216600698291006,0.4341440407085358,0.8910685447438847,1.0,-0.004794155746447856,0.9062070614645891,-0.118466978453943,0.0728484113516144,-0.1035005602183513,0.25731751037296935
"服装, 玩具",电子产品,0.09090192287809945,0.4842286402458734,0.039216600698291006,0.43141662416625587,0.8909357859279006,1.0,-0.004800713812706345,0.9071164963235576,-0.11867547703497741,0.07317704603326021,-0.10239423938699034,0.2562022001340064
"电子产品, 玩具",食品,0.09033085110252433,0.48457373730597963,0.03896534141938636,0.4313624962435172,0.8901895893939817,1.0,-0.004806616693393821,0.9064232648902982,-0.1194125639320418,0.0727047732337049,-0.10323734918810486,0.2558870397480411
"玩具, 食品",电子产品,0.09034632616183581,0.4842286402458734,0.03896534141938636,0.4312886098942022,0.8906714185166944,1.0,-0.004782937249169575,0.9069123086460027,-0.11889601162098294,0.07274951681504205,-0.10264243903908947,0.25587875018726824
运动户外,电子产品,0.13297906239043727,0.4842286402458734,0.059742016840199114,0.44925882139845236,0.9277824235475525,1.0,-0.004650253722293496,0.9365040781293726,-0.08238143894113016,0.10716716447736524,-0.06780100947073046,0.2863172290920667
"电子产品, 运动户外",食品,0.059742016840199114,0.48457373730597963,0.02562778276895204,0.42897418139569166,0.8852608970940161,1.0,-0.0033216296055000177,0.902632150598403,-0.12114619458052604,0.04940886271355944,-0.10787101848415961,0.24093072640892607
"运动户外, 食品",电子产品,0.05981532912432224,0.4842286402458734,0.02562778276895204,0.42844841187258825,0.8848060115879102,1.0,-0.0033365127187779085,0.9024056103911121,-0.12163132158140856,0.049434765794966334,-0.10814913879645463,0.240686687333449
"电子产品, 运动户外",服装,0.059742016840199114,0.48721733391825606,0.025773873156280633,0.43141953552090245,0.8854765737733067,1.0,-0.0033334730115007344,0.9018647282430422,-0.12092011945562182,0.04945240085134157,-0.10881373745277642,0.24215984595143458
"服装, 运动户外",电子产品,0.060173133215348416,0.4842286402458734,0.025773873156280633,0.4283285875116516,0.8845585574908625,1.0,-0.003363681319921333,0.9022164629661954,-0.1219314461251914,0.04969627191504004,-0.10838145949179874,0.24077762371416284
家居,电子产品,0.2511045444988325,0.4842286402458734,0.11342161444592254,0.4516908073977525,0.9328048154450357,1.0,-0.00817039769630655,0.9406578746314685,-0.08774869564007386,0.1823757908080592,-0.0630857689803327,0.34296116784319786
