antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
银联,服装,0.14288413724005328,0.21489780962479915,0.030710036336496143,0.21492964110425763,1.0001481237966736,1.0,4.54821347949802e-06,1.0000405460212551,0.00017279094425698668,0.09389383602794488,4.0544377341847144e-05,0.17891747144260167
现金,服装,0.1428242657847962,0.21489780962479915,0.030704273135575496,0.21497938719909035,1.0003796110087564,1.0,1.165125715264434e-05,1.0001039177480961,0.0004426944718269205,0.09389174816191595,0.00010390695031969188,0.17892893532374798
微信支付,服装,0.14289246366235717,0.21489780962479915,0.03069846136835496,0.21483611228715907,0.9997128991786943,1.0,-8.816084576798722e-06,0.9999214210706764,-0.0003349487293200419,0.09385273568381369,-7.858510445703483e-05,0.1788437757029202
支付宝,服装,0.14286401999938644,0.21489780962479915,0.030692860055100624,0.21483967800452794,0.9997294917971816,1.0,-8.304916961021647e-06,0.9999259621014427,-0.00031558120673193853,0.09384216453043108,-7.40433805737202e-05,0.17883252605730848
储蓄卡,服装,0.14278931963389535,0.21489780962479915,0.03069017811609542,0.2149332890918137,1.000165099249157,1.0,5.066088955979486e-06,1.000045192932679,0.000192568757804011,0.09385463078128774,4.5190890370064325e-05,0.17887309156758413
信用卡,服装,0.14287534673977262,0.21489780962479915,0.030689363281508324,0.21479817184559272,0.9995363480931686,1.0,-1.4235782252500218e-05,0.9998731055180544,-0.0005408969088244164,0.09382722082385389,-0.0001269105861987446,0.1788036370792051
信用卡,食品,0.14287534673977262,0.2132911662730143,0.030496657599788164,0.21344940394323972,1.0007418857188997,1.0,2.2608262000747836e-05,1.0002011792642693,0.0008649100567659445,0.09364286283455305,0.00020113879931380336,0.1782153739311707
微信支付,食品,0.14289246366235717,0.2132911662730143,0.03047152184146573,0.2132479282705025,0.9997972817943316,1.0,-6.178384702747869e-06,0.9999450424039981,-0.00023650632647397065,0.09355354340306107,-5.496061650529574e-05,0.17805571251451124
银联,食品,0.14288413724005328,0.2132911662730143,0.030469136696515426,0.21324366220811192,0.9997772806734921,1.0,-6.787577328973976e-06,0.9999396203594169,-0.0002598377504747922,0.09354792693770698,-6.038328650429047e-05,0.1780479881946752
支付宝,食品,0.14286401999938644,0.2132911662730143,0.030467593367429935,0.2132628870975406,0.9998674151584998,1.0,-4.0400766904424845e-06,0.9999640551144595,-0.0001546801379290173,0.09354852328169522,-3.594617762170049e-05,0.17805398274673967
微信支付,电子产品,0.14289246366235717,0.21308145699007605,0.0304628446625515,0.2131872030321531,1.0004962705041105,1.0,1.5110312474937021e-05,1.0001343979692305,0.0005787189131247788,0.09358466396239744,0.0001343799088436532,0.1780752900047428
储蓄卡,食品,0.14278931963389535,0.2132911662730143,0.03046206220549767,0.2133357192512778,1.0002088833730998,1.0,6.361689453910496e-06,1.0000566353136322,0.00024362709743567902,0.09355140860650747,5.663210625516202e-05,0.17807743259995046
银联,电子产品,0.14288413724005328,0.21308145699007605,0.030457151612952923,0.21315978247314618,1.000367584698249,1.0,1.1191469072385773e-05,1.0000995443310159,0.00042870473567545265,0.09356793135093254,9.953442292837403e-05,0.1780482208678357
现金,食品,0.1428242657847962,0.2132911662730143,0.030455300697301443,0.21323617895008595,0.9997421959667192,1.0,-7.85352402471115e-06,0.9999301094922552,-0.0003007469172155727,0.09351866490401652,-6.98953927692129e-05,0.17801181203155625
支付宝,电子产品,0.14286401999938644,0.21308145699007605,0.03044434090229224,0.21310012767681458,1.0000876222971358,1.0,2.6673693636139473e-06,1.000023726890034,0.0001022178769598254,0.09353067478738124,2.3726327082230298e-05,0.17798833287490573
信用卡,电子产品,0.14287534673977262,0.21308145699007605,0.03044406569325951,0.21308130750302992,0.9999992984511734,1.0,-2.1358013548716803e-08,0.9999998100349533,-8.184909183551533e-07,0.09352649569688255,-1.899650827374223e-07,0.17797827700438534
现金,电子产品,0.1428242657847962,0.21308145699007605,0.030423214561838753,0.21301152429993683,0.9996718030225292,1.0,-9.988085123490559e-06,0.9999111388637845,-0.0003828608510054002,0.09347111993473478,-8.88690332187742e-05,0.1778944577961965
储蓄卡,电子产品,0.14278931963389535,0.21308145699007605,0.030413965379836896,0.21299888155372387,0.9996124700970295,1.0,-1.1790890375198287e-05,0.9998950758335449,-0.0004520532669729871,0.09345008102172582,-0.00010493517669100936,0.17786643302821814
